"LYLTY_CARD_NBR","DATE","STORE_NBR","TXN_ID","PROD_NBR","PROD_NAME","PROD_QTY","TOT_SALES","size","Brand","LIFESTAGE","PREMIUM_CUSTOMER"
84262,"2019-06-26",84,83939,112,"Tyrrells Crisps Ched & Chives",2,"8.4",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Premium"
112152,"2019-03-16",112,114685,40,"Thins Chips Seasonedchicken",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Premium"
118019,"2018-12-27",118,120795,29,"French Fries Potato Chips",2,"6",175,"FRENCH","MIDAGE SINGLES/COUPLES","Premium"
118081,"2019-01-01",118,121143,37,"Smithss Thinly Swt Chli&s/cream",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
137192,"2019-06-08",137,140068,93,"Doritoss Corn Chip Southern Chicken",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
138165,"2018-10-13",138,141530,94,"Burger Rings",2,"4.6",220,"BURGER","MIDAGE SINGLES/COUPLES","Premium"
148237,"2018-10-19",148,148036,42,"Doritoss Corn Chip Mexican Jalapeno",1,"3.9",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
150357,"2019-05-01",150,149698,32,"Kettle Sea Salt And Vinegar",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
157100,"2019-03-05",157,159048,42,"Doritoss Corn Chip Mexican Jalapeno",2,"7.8",150,"DORITOS","MIDAGE SINGLES/COUPLES","Premium"
160053,"2018-11-25",160,160477,38,"Infuzions Mango Chutny Papadums",2,"4.8",70,"INFUZIONS","MIDAGE SINGLES/COUPLES","Premium"
164189,"2019-02-08",164,164952,94,"Burger Rings",2,"4.6",220,"BURGER","MIDAGE SINGLES/COUPLES","Premium"
168060,"2018-10-11",168,169705,111,"Smithss Chip Thinly Cut Original",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
172200,"2019-02-17",172,173987,70,"Tyrrells Crisps Lightly Salted",2,"8.4",165,"TYRRELLS","MIDAGE SINGLES/COUPLES","Premium"
180141,"2019-06-04",180,181926,16,"Smithss Crinkle Chips Salt & Vinegar",2,"11.4",330,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
189367,"2019-04-01",189,190172,89,"Kettle Sweet Chilli And Sour Cream",1,"5.4",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
191072,"2018-08-26",191,192206,104,"Infuzions Thai Sweetchili Potatomix",2,"7.6",110,"INFUZIONS","MIDAGE SINGLES/COUPLES","Premium"
201307,"2018-12-08",201,201286,28,"Thins Potato Chips Hot & Spicy",2,"6.6",175,"THINS","MIDAGE SINGLES/COUPLES","Premium"
203227,"2018-12-10",203,203254,102,"Kettle Mozzarella Basil & Pesto",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
220069,"2018-08-29",220,219548,5,"Natural Chip Compny Seasalt",1,"3",175,"NATURAL","MIDAGE SINGLES/COUPLES","Premium"
230202,"2019-04-06",230,233315,94,"Burger Rings",2,"4.6",220,"BURGER","MIDAGE SINGLES/COUPLES","Premium"
232208,"2019-02-18",232,236375,43,"Smiths Crinkle Cut Bolognese",2,"5.2",150,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
250051,"2019-03-18",250,251696,52,"Grnwves Waves Sour Cream&chives",2,"7.2",210,"GRNWVES","MIDAGE SINGLES/COUPLES","Premium"
250241,"2019-01-30",250,252458,88,"Kettle Honey Soy Chicken",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
256289,"2019-01-11",256,255451,111,"Smithss Chip Thinly Cut Original",2,"6",175,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
260346,"2018-11-30",260,259660,88,"Kettle Honey Soy Chicken",2,"10.8",175,"KETTLE","MIDAGE SINGLES/COUPLES","Premium"
265301,"2019-03-23",265,263642,100,"Smithss Crinkle Cut Chips Chs&onion",2,"5.8",170,"SMITHS","MIDAGE SINGLES/COUPLES","Premium"
232130,"2019-05-15",232,235940,8,"Smithss Crinkle Cut Chips Original",2,"5.8",170,"SMITHS","NEW FAMILIES","Budget"
2412,"2018-10-25",2,1023,97,"Red Rock Deli Salt & Vinegar",1,"3",165,"RRD","NEW FAMILIES","Budget"
3184,"2019-04-08",3,1873,25,"Pringles Sourcream Onion",2,"7.4",134,"PRINGLES","NEW FAMILIES","Budget"
72199,"2018-07-01",72,71475,20,"Doritoss Cheese Supreme",2,"11.4",330,"DORITOS","NEW FAMILIES","Budget"
81110,"2019-02-25",81,80239,40,"Thins Chips Seasonedchicken",2,"6.6",175,"THINS","NEW FAMILIES","Budget"
81327,"2018-07-16",81,81182,34,"Pringles Slt Vingar",2,"7.4",134,"PRINGLES","NEW FAMILIES","Budget"
95355,"2018-12-07",95,95710,93,"Doritoss Corn Chip Southern Chicken",2,"7.8",150,"DORITOS","NEW FAMILIES","Budget"
104081,"2018-11-10",104,104218,45,"Smithss Thinly Cut Roast Chicken",2,"6",175,"SMITHS","NEW FAMILIES","Budget"
108360,"2018-11-29",108,110178,113,"Twisties Chicken",2,"9.2",270,"TWISTIES","NEW FAMILIES","Budget"
111302,"2018-08-10",111,113479,36,"Kettle Chilli",1,"5.4",175,"KETTLE","NEW FAMILIES","Budget"
112063,"2019-01-03",112,114096,10,"Red Rock Deli Sr Slow Rst Pork Belly",2,"5.4",150,"RRD","NEW FAMILIES","Budget"
121202,"2018-08-08",121,124255,21,"Woolworths Sour Cream &onionstacked Chips",1,"1.9",160,"WOOLWORTHS","NEW FAMILIES","Budget"
141217,"2019-02-27",141,142457,78,"Thins Chips Salt & Vinegar",1,"3.3",175,"THINS","NEW FAMILIES","Budget"
173274,"2018-08-03",173,174784,63,"Kettle Swt Pot Sea Salt",2,"8.4",135,"KETTLE","NEW FAMILIES","Budget"
179095,"2018-12-22",179,179874,10,"Red Rock Deli Sr Slow Rst Pork Belly",2,"5.4",150,"RRD","NEW FAMILIES","Budget"
181175,"2019-02-24",181,183291,3,"Kettle Sensations Camembert & Fig",2,"9.2",150,"KETTLE","NEW FAMILIES","Budget"
182346,"2019-02-23",182,184686,78,"Thins Chips Salt & Vinegar",2,"6.6",175,"THINS","NEW FAMILIES","Budget"
188228,"2019-02-26",188,189561,113,"Twisties Chicken",2,"9.2",270,"TWISTIES","NEW FAMILIES","Budget"
188372,"2018-11-25",188,189738,19,"Smithss Crinkle Cut Snag&sauce",2,"5.2",150,"SMITHS","NEW FAMILIES","Budget"
216128,"2019-04-21",216,215229,62,"Pringles Mystery Flavour",2,"7.4",134,"PRINGLES","NEW FAMILIES","Budget"
227006,"2018-10-28",227,228316,21,"Woolworths Sour Cream &onionstacked Chips",2,"3.8",160,"WOOLWORTHS","NEW FAMILIES","Budget"
246387,"2019-03-28",246,248577,9,"Kettle Tortilla Chpsbtroot&ricotta",2,"9.2",150,"KETTLE","NEW FAMILIES","Budget"
3036,"2018-09-28",3,1244,15,"Twisties Cheese",2,"9.2",270,"TWISTIES","NEW FAMILIES","Mainstream"
21127,"2019-03-13",21,17715,9,"Kettle Tortilla Chpsbtroot&ricotta",2,"9.2",150,"KETTLE","NEW FAMILIES","Mainstream"
27343,"2019-04-23",27,24452,40,"Thins Chips Seasonedchicken",2,"6.6",175,"THINS","NEW FAMILIES","Mainstream"
32057,"2018-09-06",32,28334,21,"Woolworths Sour Cream &onionstacked Chips",2,"3.8",160,"WOOLWORTHS","NEW FAMILIES","Mainstream"
71190,"2018-07-31",71,70176,85,"Red Rock Deli Honey Soy Chicken",2,"6",165,"RRD","NEW FAMILIES","Mainstream"
88270,"2018-12-10",88,87568,9,"Kettle Tortilla Chpsbtroot&ricotta",2,"9.2",150,"KETTLE","NEW FAMILIES","Mainstream"
153277,"2019-04-24",153,153061,60,"Kettle Tortilla Chpsfeta&garlic",2,"9.2",150,"KETTLE","NEW FAMILIES","Mainstream"
167411,"2018-09-27",167,169232,97,"Red Rock Deli Salt & Vinegar",1,"3",165,"RRD","NEW FAMILIES","Mainstream"
209175,"2018-09-08",209,208473,49,"Infuzions Sourcream&herbs Veg Strws",2,"7.6",110,"INFUZIONS","NEW FAMILIES","Mainstream"
222118,"2018-11-19",222,222174,42,"Doritoss Corn Chip Mexican Jalapeno",2,"7.8",150,"DORITOS","NEW FAMILIES","Mainstream"
248124,"2019-06-28",248,250337,13,"Red Rock Deli Thai Chilli&lime",2,"5.4",150,"RRD","NEW FAMILIES","Mainstream"
249277,"2018-07-22",249,251180,11,"Red Rock Deli Pc Sea Salt",2,"6",165,"RRD","NEW FAMILIES","Mainstream"
118207,"2018-08-20",118,121861,43,"Smiths Crinkle Cut Bolognese",1,"2.6",150,"SMITHS","NEW FAMILIES","Premium"
40017,"2018-09-07",40,36183,7,"Smithss Crinkle Original",2,"11.4",330,"SMITHS","NEW FAMILIES","Premium"
123071,"2019-05-09",123,126409,81,"Pringles Original Crisps",2,"7.4",134,"PRINGLES","NEW FAMILIES","Premium"
162052,"2019-06-03",162,162124,99,"Pringles Sthrn Friedchicken",2,"7.4",134,"PRINGLES","NEW FAMILIES","Premium"
249380,"2019-02-04",249,251303,30,"Doritoss Corn Chips Cheese Supreme",2,"8.8",170,"DORITOS","NEW FAMILIES","Premium"
268380,"2018-10-22",268,264825,58,"Red Rock Deli Chikn&garlic Aioli",1,"2.7",150,"RRD","NEW FAMILIES","Premium"
24025,"2018-08-18",24,20425,8,"Smithss Crinkle Cut Chips Original",2,"5.8",170,"SMITHS","OLDER FAMILIES","Budget"
97023,"2018-08-15",97,96409,22,"Thins Chips Originl Saltd",2,"6.6",175,"THINS","OLDER FAMILIES","Budget"
6293,"2019-03-30",6,6088,94,"Burger Rings",2,"4.6",220,"BURGER","OLDER FAMILIES","Budget"
9333,"2019-06-02",9,8795,30,"Doritoss Corn Chips Cheese Supreme",1,"4.4",170,"DORITOS","OLDER FAMILIES","Budget"
19150,"2019-01-01",19,16304,75,"Cobs Popd Sea Salt Chips",2,"7.6",110,"COBS","OLDER FAMILIES","Budget"
24047,"2019-06-19",24,20540,25,"Pringles Sourcream Onion",2,"7.4",134,"PRINGLES","OLDER FAMILIES","Budget"
24158,"2019-03-10",24,21197,50,"Tostitos Lightly Salted",2,"8.8",175,"TOSTITOS","OLDER FAMILIES","Budget"
24216,"2018-08-03",24,21519,58,"Red Rock Deli Chikn&garlic Aioli",2,"5.4",150,"RRD","OLDER FAMILIES","Budget"
28221,"2019-03-24",28,25841,47,"Doritoss Corn Chips Original",2,"8.8",170,"DORITOS","OLDER FAMILIES","Budget"
28225,"2019-02-22",28,25868,86,"Cheetos Puffs",2,"5.6",165,"CHEETOS","OLDER FAMILIES","Budget"
34079,"2019-04-12",34,31187,15,"Twisties Cheese",2,"9.2",270,"TWISTIES","OLDER FAMILIES","Budget"
43025,"2019-01-18",43,38742,15,"Twisties Cheese",2,"9.2",270,"TWISTIES","OLDER FAMILIES","Budget"
46219,"2018-11-21",46,42058,4,"Doritos Corn Chp Supreme",2,"13",380,"DORITOS","OLDER FAMILIES","Budget"
57169,"2018-07-10",57,52223,93,"Doritoss Corn Chip Southern Chicken",2,"7.8",150,"DORITOS","OLDER FAMILIES","Budget"
57225,"2018-10-29",57,52582,58,"Red Rock Deli Chikn&garlic Aioli",2,"5.4",150,"RRD","OLDER FAMILIES","Budget"
59079,"2018-12-16",59,54933,70,"Tyrrells Crisps Lightly Salted",2,"8.4",165,"TYRRELLS","OLDER FAMILIES","Budget"
59173,"2019-05-06",59,55307,99,"Pringles Sthrn Friedchicken",2,"7.4",134,"PRINGLES","OLDER FAMILIES","Budget"
63149,"2018-10-25",63,60326,45,"Smithss Thinly Cut Roast Chicken",2,"6",175,"SMITHS","OLDER FAMILIES","Budget"
63254,"2018-12-31",63,61080,71,"Twisties Cheese Burger",2,"8.6",250,"TWISTIES","OLDER FAMILIES","Budget"
65204,"2018-08-07",65,62531,14,"Smithss Crnkle Chip Orgnl Big Bag",2,"11.8",380,"SMITHS","OLDER FAMILIES","Budget"
66243,"2018-11-20",66,63621,70,"Tyrrells Crisps Lightly Salted",2,"8.4",165,"TYRRELLS","OLDER FAMILIES","Budget"
69040,"2019-06-02",69,66077,105,"Woolworths Cheese Rings",2,"3.6",190,"WOOLWORTHS","OLDER FAMILIES","Budget"
78106,"2018-10-10",78,76084,69,"Smithss Chip Thinly S/cream&onion",2,"6",175,"SMITHS","OLDER FAMILIES","Budget"
78202,"2019-06-13",78,76636,79,"Smithss Chip Thinly Cutsalt/vinegr",2,"6",175,"SMITHS","OLDER FAMILIES","Budget"
83174,"2018-11-20",83,83078,1,"Smithss Crinkle Cut Chips Barbecue",2,"5.8",170,"SMITHS","OLDER FAMILIES","Budget"
83174,"2019-04-28",83,83083,111,"Smithss Chip Thinly Cut Original",2,"6",175,"SMITHS","OLDER FAMILIES","Budget"
86180,"2018-08-22",86,85257,32,"Kettle Sea Salt And Vinegar",2,"10.8",175,"KETTLE","OLDER FAMILIES","Budget"
90359,"2019-06-18",90,89089,84,"Grnwves Plus Btroot & Chilli Jam",1,"3.1",180,"GRNWVES","OLDER FAMILIES","Budget"
91018,"2018-07-09",91,89320,23,"Cheezels Cheese",2,"11.4",330,"CHEEZELS","OLDER FAMILIES","Budget"
93021,"2018-12-14",93,90721,114,"Kettle Sensations Siracha Lime",2,"9.2",150,"KETTLE","OLDER FAMILIES","Budget"
93220,"2018-10-14",93,92106,27,"Woolworths Supreme Cheese Corn Chips",2,"3.8",200,"WOOLWORTHS","OLDER FAMILIES","Budget"
100063,"2019-01-30",100,98742,36,"Kettle Chilli",2,"10.8",175,"KETTLE","OLDER FAMILIES","Budget"
102107,"2018-09-09",102,102159,100,"Smithss Crinkle Cut Chips Chs&onion",2,"5.8",170,"SMITHS","OLDER FAMILIES","Budget"
105065,"2019-02-09",105,105664,89,"Kettle Sweet Chilli And Sour Cream",2,"10.8",175,"KETTLE","OLDER FAMILIES","Budget"
105163,"2019-04-26",105,106279,20,"Doritoss Cheese Supreme",2,"11.4",330,"DORITOS","OLDER FAMILIES","Budget"
106020,"2019-02-02",106,106870,13,"Red Rock Deli Thai Chilli&lime",2,"5.4",150,"RRD","OLDER FAMILIES","Budget"
106068,"2019-03-06",106,107151,13,"Red Rock Deli Thai Chilli&lime",2,"5.4",150,"RRD","OLDER FAMILIES","Budget"
107098,"2018-11-26",107,108911,78,"Thins Chips Salt & Vinegar",2,"6.6",175,"THINS","OLDER FAMILIES","Budget"
110110,"2019-04-08",110,112320,19,"Smithss Crinkle Cut Snag&sauce",2,"5.2",150,"SMITHS","OLDER FAMILIES","Budget"
113160,"2018-09-02",113,116460,32,"Kettle Sea Salt And Vinegar",2,"10.8",175,"KETTLE","OLDER FAMILIES","Budget"
114006,"2018-09-10",114,116915,114,"Kettle Sensations Siracha Lime",2,"9.2",150,"KETTLE","OLDER FAMILIES","Budget"
116057,"2018-11-12",116,119469,13,"Red Rock Deli Thai Chilli&lime",2,"5.4",150,"RRD","OLDER FAMILIES","Budget"
118151,"2018-12-19",118,121559,54,"Ccs Original",2,"4.2",175,"CCS","OLDER FAMILIES","Budget"
122176,"2018-12-06",122,125680,110,"Woolworths Original Corn Chips",2,"3.8",200,"WOOLWORTHS","OLDER FAMILIES","Budget"
122202,"2018-07-06",122,125823,79,"Smithss Chip Thinly Cutsalt/vinegr",2,"6",175,"SMITHS","OLDER FAMILIES","Budget"
123057,"2019-04-27",123,126357,36,"Kettle Chilli",2,"10.8",175,"KETTLE","OLDER FAMILIES","Budget"
125139,"2018-07-09",125,128822,49,"Infuzions Sourcream&herbs Veg Strws",2,"7.6",110,"INFUZIONS","OLDER FAMILIES","Budget"
